tag,epoch,train_mse_scaled,val_mse_scaled,wall_time_s
lstm_baseline,1,0.004686401343989917,0.005099320972063156,1.2946717739105225
lstm_baseline,2,0.0017863873836398314,0.0016397564357083121,1.8628208637237549
lstm_baseline,3,0.0011881984808729228,0.0008585813371940854,2.4264049530029297
lstm_baseline,4,0.000922991448182624,0.0005733280929482796,2.990464687347412
lstm_baseline,5,0.000840616658795507,0.0005710145952021279,3.5541789531707764
lstm_baseline,6,0.0007693070378483927,0.000605118024594214,4.121555805206299
lstm_baseline,7,0.0007522068028549595,0.0005424817256756466,4.686245918273926
lstm_baseline,8,0.0007223215603114849,0.0005799751902073199,5.251298666000366
lstm_baseline,9,0.000722434181162382,0.0005551244675933214,5.816230297088623
lstm_baseline,10,0.0007005558825538609,0.0005309317754422822,6.3822550773620605
