tag,epoch,train_mse_scaled,val_mse_scaled,wall_time_s
lstm_baseline,1,0.004686401343989917,0.005099320972063156,0.7296650409698486
lstm_baseline,2,0.0017863873836398314,0.0016397564357083121,1.3067562580108643
lstm_baseline,3,0.0011881984808729228,0.0008585813371940854,1.8768434524536133
lstm_baseline,4,0.000922991448182624,0.0005733280929482796,2.4435718059539795
lstm_baseline,5,0.000840616658795507,0.0005710145952021279,3.0085976123809814
lstm_baseline,6,0.0007693070378483927,0.000605118024594214,3.5779693126678467
lstm_baseline,7,0.0007522068028549595,0.0005424817256756466,4.142776727676392
lstm_baseline,8,0.0007223215603114849,0.0005799751902073199,4.70671820640564
lstm_baseline,9,0.000722434181162382,0.0005551244675933214,5.271575689315796
lstm_baseline,10,0.0007005558825538609,0.0005309317754422822,5.840636253356934
